unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.61214E+12,2021-02-01,BNB/USDT,44.3291,52.3736,43.4331,51.4781,6095055.413,294440153.9,674212,47.90335
1.61222E+12,2021-02-02,BNB/USDT,51.4762,53,49.1572,51.0071,4675040.877,237619391.9,667934,51.0786
1.61231E+12,2021-02-03,BNB/USDT,51.029,52.7,49.7823,52.12,2949735.036,150776117.8,462818,51.24115
1.6124E+12,2021-02-04,BNB/USDT,52.12,57.0547,51.25,55.9599,4004741.294,215002299.8,579484,54.15235
1.61248E+12,2021-02-05,BNB/USDT,55.9593,68.73,55.9202,67.7005,5040545.223,306515082.6,682891,62.3251
1.61257E+12,2021-02-06,BNB/USDT,67.6217,75.5,61.7,72.8356,8482528.531,595983260,1151480,68.6
1.61266E+12,2021-02-07,BNB/USDT,72.8693,74.8199,64.1803,68.3542,5969908.442,413359634.4,851424,69.5001
1.61274E+12,2021-02-08,BNB/USDT,68.355,79.8823,67.6152,79.8374,7860567.389,573806461.5,1279676,73.74875
1.61283E+12,2021-02-09,BNB/USDT,79.8734,116.24,78.0381,107.3469,12487305.87,1222317019,1979175,97.13905
1.61292E+12,2021-02-10,BNB/USDT,107.3496,148.4,107.2811,128.9711,16613534.27,2139218097,2836233,127.84055
1.613E+12,2021-02-11,BNB/USDT,128.9463,132.8,117.7289,124.085,5920400.255,737374300.6,1185612,125.26445
1.61309E+12,2021-02-12,BNB/USDT,124.1129,141.32,120.89,136.6139,5626020.824,740055608,1155321,131.105
1.61317E+12,2021-02-13,BNB/USDT,136.7321,138.5067,125,133.3496,3785723.402,497454132.4,936880,131.75335
1.61326E+12,2021-02-14,BNB/USDT,133.3498,139,128.4615,135.8623,4405507.885,588209671.9,919313,133.73075
1.61335E+12,2021-02-15,BNB/USDT,135.8623,139.369,118,130.303,4772752.806,617209050.3,953125,128.6845
1.61343E+12,2021-02-16,BNB/USDT,129.9493,133.4925,126,130.183,3258276.714,423640104.9,616879,129.74625
1.61352E+12,2021-02-17,BNB/USDT,130.183,175.9997,126.7546,165.3233,10185662.26,1540919652,1654588,151.37715
1.61361E+12,2021-02-18,BNB/USDT,165.3176,199.88,162.7969,195.6,11226893.37,2093727365,2106653,181.33845
1.61369E+12,2021-02-19,BNB/USDT,195.5549,348.6969,194.9279,333.111,20188858.2,5528652619,4491728,271.8124
1.61378E+12,2021-02-20,BNB/USDT,333.2212,335,223,253,13497656.25,3803591547,3476190,279
1.61387E+12,2021-02-21,BNB/USDT,253.01,309.4995,249.7044,295.2597,10646422.31,3016515098,2525329,279.60195
1.61395E+12,2021-02-22,BNB/USDT,294.9167,296,220.5,267.5147,12604399.4,3304868176,2806150,258.25
1.61404E+12,2021-02-23,BNB/USDT,267.1721,269.444,186.1,231.3646,15879767.56,3533975184,3227858,227.772
1.61412E+12,2021-02-24,BNB/USDT,231.3646,281,213.0257,254.5056,11777825.19,2968825221,2798601,247.01285
1.61421E+12,2021-02-25,BNB/USDT,254.3826,265.4014,231.5,234.9146,6871992.794,1718504824,1774378,248.4507
1.6143E+12,2021-02-26,BNB/USDT,234.7605,239.4,209.105,221.717,7410706.385,1673740237,1741056,224.2525
